Admin2,Province_State,Lat,Long_,Deaths,Combined_Key
Camden,Georgia,30.92952,-81.66601818,0,"Camden, Georgia, US"
Camden,Missouri,38.022,-92.76083747,1,"Camden, Missouri, US"
Camden,New Jersey,39.80344,-74.96388753,29,"Camden, New Jersey, US"
Cameron,Louisiana,29.87592,-93.19310676,0,"Cameron, Louisiana, US"
Cameron,Pennsylvania,41.43626,-78.20376845,0,"Cameron, Pennsylvania, US"
Cameron,Texas,26.14524,-97.48140372,3,"Cameron, Texas, US"
Camp,Texas,32.97195,-94.97790104,0,"Camp, Texas, US"
Campbell,Kentucky,38.94384,-84.37875208,3,"Campbell, Kentucky, US"
Campbell,Tennessee,36.40356,-84.1510856,0,"Campbell, Tennessee, US"
Campbell,Virginia,37.20553,-79.09678609,0,"Campbell, Virginia, US"
Campbell,Wyoming,44.24886,-105.5474404,0,"Campbell, Wyoming, US"
Canadian,Oklahoma,35.54261,-97.98465569,1,"Canadian, Oklahoma, US"
Candler,Georgia,32.40209,-82.07702563,0,"Candler, Georgia, US"
Cannon,Tennessee,35.80991,-86.05738983,0,"Cannon, Tennessee, US"
Canyon,Idaho,43.6197,-116.7095499,4,"Canyon, Idaho, US"
Cape Girardeau,Missouri,37.38489,-89.6843587,1,"Cape Girardeau, Missouri, US"
Cape May,New Jersey,39.15009,-74.80170244,5,"Cape May, New Jersey, US"
Carbon,Montana,45.2285,-109.0274047,0,"Carbon, Montana, US"
Carbon,Pennsylvania,40.91545,-75.7068525,3,"Carbon, Pennsylvania, US"
Carbon,Utah,39.64835,-110.5872512,0,"Carbon, Utah, US"
Carbon,Wyoming,41.69358,-106.9326084,0,"Carbon, Wyoming, US"
Caribou,Idaho,42.77149,-111.5597683,0,"Caribou, Idaho, US"
Carlton,Minnesota,46.59181,-92.67601019,0,"Carlton, Minnesota, US"
Caroline,Maryland,38.87172,-75.82904158,0,"Caroline, Maryland, US"
Caroline,Virginia,38.02679,-77.34901405,0,"Caroline, Virginia, US"
Carroll,Arkansas,36.34039,-93.54270261,0,"Carroll, Arkansas, US"
Carroll,Georgia,33.58138,-85.07976677,5,"Carroll, Georgia, US"
Carroll,Illinois,42.06823,-89.93395545,1,"Carroll, Illinois, US"
Carroll,Indiana,40.58078,-86.56198812,0,"Carroll, Indiana, US"
Carroll,Iowa,42.03617,-94.86032705,0,"Carroll, Iowa, US"
Carroll,Kentucky,38.666,-85.12601074,0,"Carroll, Kentucky, US"
Carroll,Maryland,39.56454,-77.02373735,19,"Carroll, Maryland, US"
Carroll,Mississippi,33.44835,-89.91994479,0,"Carroll, Mississippi, US"
Carroll,New Hampshire,43.87499,-71.20430216,0,"Carroll, New Hampshire, US"
Carroll,Ohio,40.57897,-81.09178213,0,"Carroll, Ohio, US"
Carroll,Tennessee,35.97366,-88.45189331,0,"Carroll, Tennessee, US"
Carroll,Virginia,36.73067,-80.73455942,0,"Carroll, Virginia, US"
Carson City,Nevada,39.15509,-119.7480219,0,"Carson City, Nevada, US"
Carter,Kentucky,38.31691,-83.05092385,0,"Carter, Kentucky, US"
Carter,Missouri,36.9416,-90.96051322,1,"Carter, Missouri, US"
Carter,Oklahoma,34.25104,-97.28552485,0,"Carter, Oklahoma, US"
Carter,Tennessee,36.28969,-82.12588974,0,"Carter, Tennessee, US"
Carteret,North Carolina,34.89329,-76.54120135,1,"Carteret, North Carolina, US"
Carver,Minnesota,44.82017,-93.8009918,0,"Carver, Minnesota, US"
Cascade,Montana,47.30797,-111.3467922,0,"Cascade, Montana, US"
Cass,Indiana,40.76136,-86.34830753,1,"Cass, Indiana, US"
Cass,Michigan,41.91522,-85.99405727,1,"Cass, Michigan, US"
Cass,Minnesota,46.95044,-94.32603968,0,"Cass, Minnesota, US"
Cass,Missouri,38.64789,-94.353399,1,"Cass, Missouri, US"
Cass,Nebraska,40.90899,-96.13971217,0,"Cass, Nebraska, US"
Cass,North Dakota,46.93202,-97.2444719,1,"Cass, North Dakota, US"
Cass,Texas,33.075,-94.34646905,0,"Cass, Texas, US"
