FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
5011,Bradley,Arkansas,US,4/10/2020 22:54,33.46756,-92.15980837,6,0,0,0,"Bradley, Arkansas, US"
47011,Bradley,Tennessee,US,4/10/2020 22:54,35.15739,-84.857186,31,0,0,0,"Bradley, Tennessee, US"
26023,Branch,Michigan,US,4/10/2020 22:54,41.91601,-85.05929476,25,2,0,0,"Branch, Michigan, US"
13025,Brantley,Georgia,US,4/10/2020 22:54,31.19577,-81.97743999,6,1,0,0,"Brantley, Georgia, US"
54007,Braxton,West Virginia,US,4/10/2020 22:54,38.70036,-80.72011184,1,0,0,0,"Braxton, West Virginia, US"
48039,Brazoria,Texas,US,4/10/2020 22:54,29.18757,-95.44563172,199,2,0,0,"Brazoria, Texas, US"
48041,Brazos,Texas,US,4/10/2020 22:54,30.66364,-96.30205577,116,9,0,0,"Brazos, Texas, US"
21025,Breathitt,Kentucky,US,4/10/2020 22:54,37.52333,-83.31959161,1,0,0,0,"Breathitt, Kentucky, US"
21027,Breckinridge,Kentucky,US,4/10/2020 22:54,37.77377,-86.42885017,3,0,0,0,"Breckinridge, Kentucky, US"
19017,Bremer,Iowa,US,4/10/2020 22:54,42.77461,-92.31795937,2,0,0,0,"Bremer, Iowa, US"
12009,Brevard,Florida,US,4/10/2020 22:54,28.29410,-80.73091022,115,2,0,0,"Brevard, Florida, US"
